iter	Passed	Remaining
703	2092	879
704	2093	876
705	2095	872
706	2097	869
707	2099	865
708	2103	863
709	2105	859
710	2106	856
711	2108	852
712	2110	849
713	2112	846
714	2114	842
715	2117	840
716	2119	836
717	2121	833
718	2123	829
719	2125	826
720	2127	823
721	2128	819
722	2132	816
723	2134	813
724	2136	810
725	2138	806
726	2139	803
727	2141	800
728	2143	796
729	2146	794
730	2148	790
731	2150	787
732	2152	784
733	2154	780
734	2156	777
735	2158	774
736	2161	771
737	2163	767
738	2165	764
739	2167	761
740	2168	758
741	2170	754
742	2172	751
743	2176	748
744	2178	745
745	2180	742
746	2181	738
747	2183	735
748	2186	732
749	2190	730
750	2193	727
751	2197	724
752	2199	721
753	2201	718
754	2205	715
755	2208	712
756	2210	709
757	2212	706
758	2214	703
759	2216	699
760	2220	697
761	2222	694
762	2225	691
763	2226	687
764	2229	684
765	2231	681
766	2235	679
767	2237	676
768	2239	672
769	2242	669
770	2244	666
771	2247	663
772	2251	661
773	2253	658
774	2255	654
775	2257	651
776	2259	648
777	2261	645
778	2265	642
779	2267	639
780	2269	636
781	2271	633
782	2273	630
783	2275	626
784	2277	623
785	2280	620
786	2282	617
787	2285	614
788	2287	611
789	2289	608
790	2291	605
791	2295	602
792	2297	599
793	2299	596
794	2301	593
795	2303	590
796	2305	587
797	2306	583
798	2310	581
799	2312	578
800	2314	574
801	2316	571
802	2318	568
803	2319	565
804	2321	562
805	2325	559
806	2327	556
807	2330	553
808	2332	550
809	2334	547
810	2336	544
811	2341	542
812	2342	538
813	2344	535
814	2346	532
815	2348	529
816	2350	526
817	2353	523
818	2355	520
819	2357	517
820	2359	514
821	2361	511
822	2363	508
823	2365	505
824	2369	502
825	2371	499
826	2372	496
827	2374	493
828	2376	490
829	2378	487
830	2380	484
831	2383	481
832	2385	478
833	2387	475
834	2389	472
835	2391	469
836	2393	466
837	2395	463
838	2398	460
839	2400	457
840	2402	454
841	2404	451
842	2406	448
843	2408	445
844	2410	442
845	2413	439
846	2415	436
847	2417	433
848	2418	430
849	2420	427
850	2422	424
851	2424	421
852	2427	418
853	2429	415
854	2431	412
855	2433	409
856	2434	406
857	2436	403
858	2438	400
859	2442	397
860	2444	394
861	2446	391
862	2447	388
863	2449	385
864	2451	382
865	2454	379
866	2456	376
867	2458	373
868	2460	370
869	2462	367
870	2464	365
871	2466	362
872	2471	359
873	2474	356
874	2476	353
875	2478	350
876	2480	347
877	2482	344
878	2485	342
879	2487	339
880	2489	336
881	2491	333
882	2493	330
883	2495	327
884	2497	324
885	2501	321
886	2503	318
887	2505	315
888	2507	313
889	2508	310
890	2510	307
891	2512	304
892	2516	301
893	2517	298
894	2519	295
895	2521	292
896	2523	289
897	2525	286
898	2527	283
899	2531	281
900	2533	278
901	2535	275
902	2537	272
903	2539	269
904	2541	266
905	2544	263
906	2546	261
907	2548	258
908	2550	255
909	2552	252
910	2554	249
911	2556	246
912	2559	243
913	2561	241
914	2563	238
915	2565	235
916	2567	232
917	2569	229
918	2571	226
919	2575	223
920	2577	221
921	2579	218
922	2581	215
923	2582	212
924	2584	209
925	2586	206
926	2589	203
927	2592	201
928	2595	198
929	2596	195
930	2599	192
931	2601	189
932	2604	187
933	2606	184
934	2608	181
935	2609	178
936	2611	175
937	2613	172
938	2615	169
939	2618	167
940	2621	164
941	2622	161
942	2624	158
943	2626	155
944	2628	152
945	2630	150
946	2633	147
947	2635	144
948	2637	141
949	2640	138
950	2641	136
951	2643	133
952	2646	130
953	2649	127
954	2651	124
955	2653	122
956	2655	119
957	2657	116
958	2659	113
959	2661	110
960	2664	108
961	2666	105
962	2668	102
963	2669	99
964	2671	96
965	2673	94
966	2675	91
967	2678	88
968	2680	85
969	2682	82
970	2684	80
971	2686	77
972	2688	74
973	2690	71
974	2693	69
975	2695	66
976	2696	63
977	2698	60
978	2700	57
979	2702	55
980	2705	52
981	2707	49
982	2709	46
983	2711	44
984	2713	41
985	2715	38
986	2717	35
987	2722	33
988	2724	30
989	2726	27
990	2728	24
991	2730	22
992	2732	19
993	2735	16
994	2737	13
995	2739	11
996	2741	8
997	2743	5
998	2745	2
999	2748	0
